"name","started","closed","start_date","end_date","complete_date","ID_Sprint"
"Workflow Sprint 1",False,False,NULL,NULL,NULL,"2"
"Workflow Sprint 1",True,True,"1578575340000","1579784940000","1580308410681","3"
"Scrum Sprint 1",True,True,"1580737080000","1581946680000","1582029567907","6"
"Scrum Sprint 2",True,True,"1582108064989","1583231220000","1583224466199","7"
"Scrum Sprint 3",True,True,"1583310342592","1584433500000","1584461629489","8"
"Scrum Sprint 4",True,True,"1584526330232","1585645920000","1585652768621","9"
"Scrum Sprint 5",True,True,"1585738397241","1586857980000","1586937605029","10"
"Scrum Sprint 6",True,True,"1586945744331","1588065300000","1588146825707","11"
"Scrum Sprint 7",True,True,"1588231115082","1589264280000","1589357853281","12"
"Scrum Sprint 8",True,True,"1589369326293","1590488880000","1590511124839","13"
"Scrum Sprint 9",True,True,"1590576069352","1591695660000","1591717750696","14"
"BI Sprint 1",False,False,NULL,NULL,NULL,"15"
"Scrum Sprint 10",True,True,"1591777236480","1592896800000","1592931220662","16"
"Scrum Sprint 11",True,True,"1592998831007","1594118400000","1594208284513","17"
"Scrum Sprint 12",True,True,"1594216800000","1595336400000","1595345990114","18"
"Scrum Sprint 13",True,True,"1595417908873","1596537480000","1596553309198","19"
"Scrum Sprint 14",True,True,"1596627985440","1597747560000","1597762929693","20"
"Scrum Sprint 15",True,True,"1598042460000","1598989260000","1598977460478","21"
"Scrum Sprint 16",True,True,"1599040207799","1600167000000","1600183511048","22"
"Scrum Sprint 17",True,True,"1600251264967","1601374440000","1601456166744","23"
"Scrum Sprint 18",True,True,"1601459949563","1601945940000","1602082874294","24"
"Scrum Sprint 19",True,True,"1602082966271","1602568920000","1602665960443","25"
"Scrum Sprint 20",True,True,"1602688339770","1603260720000","1603819291172","26"
"Scrum Sprint 21",True,True,"1603905660000","1604996460000","1605174980981","27"
"Scrum Sprint 22",True,True,"1605177829101","1605922980000","1606292855148","28"
"Sprint 23",True,True,"1606298544249","1606903320000","1607098204926","30"
"Sprint 24",True,True,"1607330588415","1607935380000","1608313793987","32"
"Sprint 25",True,True,"1608538885858","1609489260000","1609249812620","33"
"Sprint 26",True,True,"1609250139809","1609941300000","1610726543697","34"
"Sprint 27",True,True,"1610985780000","1611936180000","1611338035020","35"
"Sprint 28",True,False,"1611571155236","1612521540000",NULL,"36"
"Sprint 29",False,False,NULL,NULL,NULL,"37"
