"ID_Issue_Type","name","description"
"10000","Épopée","Created by Jira Software - do not edit or delete. Issue type for a big user story that needs to be broken down."
"10001","Story","Created by Jira Software - do not edit or delete. Issue type for a user story."
"10100","Tâche","Tâche qui doit être effectuée."
"10101","Sous-tâche","Sous-tâche du ticket"
"10102","Bogue",""
"10200","Task","A task that needs to be done."
"10201","Sub-task","The sub-task of the issue"
"10202","Bug","A problem which impairs or prevents the functions of the product."
"10300","ER","Enhancement Request "
"10301","Epic",""
